,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Postal code,Public name,Rental status,Slots,Station type,Status,Subscription status,year,month,day,hour,minute
292,0,0,0,0,nonexistent,Rueil-Malmaison,rueilmalmaison-18juin1940-63,STATION,92500,Rueil-Malmaison/18 juin 1940/63,operational,5,station,ok,nonexistent,2018,4,3,10,33
293,6,0,0,0,nonexistent,Villejuif,villejuif-marcelpaul-6,STATION,94800,Villejuif/Marcel Paul/6,operational,0,station,ok,nonexistent,2018,4,4,6,32
294,0,0,0,0,nonexistent,Paris,paris-adolphemax-6,STATION,75009,Paris/Adolphe Max/6,operational,3,station,ok,nonexistent,2018,4,7,16,47
295,1,0,0,0,nonexistent,Vaucresson,vaucresson-victorpauchet-31,STATION,92420,Vaucresson/Victor Pauchet/31,operational,0,station,ok,nonexistent,2018,4,6,19,26
296,4,0,1,0,operational,Paris,paris-commerce-5,STATION,75015,Paris/Commerce/5,operational,0,station,ok,nonexistent,2018,4,3,5,24
297,4,0,0,0,nonexistent,Paris,paris-faubourgpoissoniere-64,STATION,75010,Paris/PoissonniÃ¨re/64,operational,0,station,ok,nonexistent,2018,4,3,4,38
298,0,0,0,1,operational,Paris,paris-gerbert-11,STATION,75015,Paris/Gerbert/11,operational,5,station,ok,nonexistent,2018,4,4,14,50
299,0,0,0,1,operational,Paris,paris-gambetta-1,STATION,75020,Paris/Gambetta/1,operational,5,station,ok,nonexistent,2018,4,1,15,52
300,1,0,0,2,operational,Paris,paris-julienlacroix-39,STATION,75020,Paris/Julien Lacroix/39,operational,5,station,ok,nonexistent,2018,4,1,11,3
301,1,0,0,1,operational,Paris,paris-bethune-36,STATION,75004,Paris/BÃ©thune/36,operational,3,station,ok,nonexistent,2018,4,4,16,1
302,2,0,0,0,nonexistent,CrÃ©teil,creteil-generaldegaulle-70,STATION,94000,CrÃ©teil/De Gaulle/70,operational,4,station,ok,nonexistent,2018,4,6,17,15
303,0,0,0,0,nonexistent,Paris,paris-anatoledelaforge-10,STATION,75017,Paris/Anatole de la Forge/10,future,0,station,scheduled,nonexistent,2018,4,3,13,42
304,0,0,0,0,nonexistent,Rueil-Malmaison,rueilmalmaison-edouardbelin-8,STATION,92500,Rueil-Malmaison/Ãdouard Belin/8,operational,2,station,ok,nonexistent,2018,4,2,20,14
305,1,0,0,1,operational,Issy-les-Moulineaux,issylesmoulineaux-renejacques-1,STATION,92130,Issy-les-Moulineaux/RenÃ© Jacques/1,operational,4,station,ok,nonexistent,2018,4,4,0,28
306,0,0,0,0,nonexistent,Paris,paris-madame-18,STATION,75006,Paris/Madame/18,operational,1,station,ok,nonexistent,2018,4,9,16,18
307,5,0,0,0,nonexistent,Champigny-sur-Marne,champignysurmarne-stalingrad-214,STATION,94500,Champigny-sur-Marne/Stalingrad/214,operational,1,station,ok,nonexistent,2018,4,7,23,8
